generation;evaluationTime;orderTime;fusionTime;totalTime;correlation;acuracy;acuracyAvarange;acuracyVariace
1;18437103;91;168;18437103;0;2634.85;0;0
2;18228181;109;174;18228181;0;2634.85;0;0
3;18251457;219;230;18251457;0;2634.48;0;0
4;18438453;214;165;18438453;0;2634.48;0;0
5;18194392;253;164;18194392;0;2413.87;0;0
6;18306038;258;165;18306038;0;2413.87;0;0
7;17708103;260;174;17708103;0;2413.87;0;0
8;17910480;261;163;17910480;0;2413.87;0;0
9;18253073;348;247;18253073;0;2413.87;0;0
10;17858680;261;168;17858680;0;2413.87;0;0
11;17827834;261;168;17827834;0;2413.87;0;0
12;18209210;269;170;18209210;0;2413.87;0;0
13;17899300;264;255;17899300;0;2413.87;0;0
14;17787260;354;245;17787260;0;2413.87;0;0
15;18036363;265;169;18036363;0;2412.22;0;0
16;17849784;404;251;17849784;0;2412.22;0;0
17;17798652;269;166;17798652;0;2409.76;0;0
18;17961472;268;182;17961472;0;2406.05;0;0
19;18370178;265;165;18370178;0;2382.99;0;0
20;18477541;274;179;18477541;0;2382.99;0;0
21;18455203;272;166;18455203;0;2382.99;0;0
22;18275656;267;174;18275656;0;2382.99;0;0
23;18046084;271;165;18046084;0;2382.99;0;0
24;18362770;277;169;18362770;0;2382.99;0;0
25;18353075;276;166;18353075;0;2372.9;0;0
26;18327501;369;268;18327501;0;2372.9;0;0
27;18280107;285;168;18280107;0;2372.9;0;0
28;18365422;281;167;18365422;0;2359.82;0;0
29;18417684;281;165;18417684;0;2359.81;0;0
30;18556047;278;165;18556047;0;2323.82;0;0
31;18455263;289;176;18455263;0;2323.82;0;0
32;18181251;318;180;18181251;0;2323.82;0;0
33;19463554;283;166;19463554;0;2323.82;0;0
34;17716069;279;171;17716069;0;2323.82;0;0
35;17998087;282;167;17998087;0;2305.7;0;0
36;18011328;344;234;18011328;0;2227.62;0;0
37;18189789;393;236;18189789;0;2227.62;0;0
38;17719304;372;250;17719304;0;2227.62;0;0
39;17891819;405;261;17891819;0;2227.62;0;0
40;17649816;296;168;17649816;0;2189.06;0;0
41;17766550;281;168;17766550;0;2189.06;0;0
42;17748318;382;170;17748318;0;2189.06;0;0
43;17689152;275;167;17689152;0;2102.6;0;0
44;18379699;385;210;18379699;0;2102.6;0;0
45;18074847;275;163;18074847;0;2060.5;0;0
46;17869272;396;265;17869272;0;2047.2;0;0
47;17890425;330;220;17890425;0;2032.59;0;0
48;17981105;272;165;17981105;0;1999.13;0;0
49;17955329;314;167;17955329;0;1999.13;0;0
50;17917066;373;311;17917066;0;1983.99;0;0
51;17758461;273;165;17758461;0;1878.07;0;0
52;17880137;293;166;17880137;0;1728.29;0;0
53;17772358;299;249;17772358;0;1682.2;0;0
54;17855866;274;168;17855866;0;1682.2;0;0
55;17596725;275;165;17596725;0;1682.2;0;0
56;17641748;287;174;17641748;0;1682.2;0;0
57;17950874;272;164;17950874;0;1423.4;0;0
58;17944223;379;252;17944223;0;1423.4;0;0
59;17596291;321;245;17596291;0;1423.4;0;0
60;17729725;278;166;17729725;0;1423.4;0;0
61;17870652;271;170;17870652;0;810.395;0;0
62;18011443;275;184;18011443;0;630.485;0;0
63;17694894;275;169;17694894;0;630.485;0;0
64;17703675;277;168;17703675;0;630.485;0;0
65;17741975;373;177;17741975;0;630.485;0;0
66;18304529;276;165;18304529;0;630.485;0;0
67;17922730;273;182;17922730;0;630.485;0;0
68;18430990;276;179;18430990;0;627.41;0;0
69;18328135;275;167;18328135;0;627.41;0;0
70;18358233;269;166;18358233;0;606.609;0;0
71;18396204;277;169;18396204;0;606.609;0;0
72;18447371;269;168;18447371;0;606.609;0;0
73;18086803;274;170;18086803;0;606.609;0;0
74;18283691;274;168;18283691;0;594.963;0;0
75;18460703;282;164;18460703;0;594.963;0;0
76;20659621;402;244;20659621;0;594.963;0;0
77;17503132;383;249;17503132;0;594.963;0;0
78;17443808;344;170;17443808;0;594.963;0;0
79;17542498;404;252;17542498;0;594.963;0;0
80;17539843;372;263;17539843;0;594.963;0;0
81;17715145;381;246;17715145;0;594.963;0;0
82;17743308;373;236;17743308;0;594.963;0;0
83;17737050;270;163;17737050;0;594.963;0;0
84;17778425;378;253;17778425;0;594.963;0;0
85;17850490;350;237;17850490;0;594.963;0;0
86;17850861;271;170;17850861;0;594.963;0;0
87;17852100;272;165;17852100;0;594.963;0;0
88;17795994;267;167;17795994;0;594.963;0;0
89;17746458;271;164;17746458;0;594.963;0;0
90;17988158;384;253;17988158;0;594.963;0;0
91;17841377;268;167;17841377;0;594.963;0;0
92;18271806;424;339;18271806;0;594.963;0;0
93;32383214;272;169;32383214;0;594.963;0;0
94;41130944;298;168;41130944;0;594.79;0;0
95;40843809;268;169;40843809;0;594.79;0;0
96;37806569;363;252;37806569;0;594.79;0;0
97;40490472;365;383;40490472;0;594.79;0;0
98;40100634;2023;373;40100634;0;594.79;0;0
99;38243931;366;271;38243931;0;594.79;0;0
100;38668412;398;261;38668412;0;594.79;0;0
101;31637411;272;303;31637411;0;594.225;0;0
102;32926580;366;283;32926580;0;594.225;0;0
103;33450880;446;265;33450880;0;593.908;0;0
104;43883492;804;300;43883492;0;593.908;0;0
105;43191896;270;355;43191896;0;593.908;0;0
106;39556463;287;165;39556463;0;593.908;0;0
107;39745243;309;180;39745243;0;593.908;0;0
108;39170450;268;166;39170450;0;593.221;0;0
109;38726378;772;598;38726378;0;593.221;0;0
110;41574657;422;370;41574657;0;593.221;0;0
111;38122655;2596;1371;38122655;0;593.221;0;0
112;38880883;376;244;38880883;0;593.221;0;0
113;37529444;938;389;37529444;0;592.562;0;0
114;39305434;599;247;39305434;0;592.562;0;0
115;38769952;314;168;38769952;0;592.562;0;0
116;38742648;980;645;38742648;0;592.562;0;0
117;34429890;357;232;34429890;0;592.562;0;0
118;39189196;311;172;39189196;0;592.562;0;0
119;39292273;1058;403;39292273;0;592.562;0;0
120;41225495;315;174;41225495;0;592.562;0;0
121;43693349;405;374;43693349;0;592.562;0;0
122;43524973;273;154;43524973;0;592.562;0;0
123;41752515;341;168;41752515;0;592.562;0;0
124;38212340;276;175;38212340;0;592.562;0;0
125;36969442;7936;1186;36969442;0;592.562;0;0
126;36944075;722;428;36944075;0;592.562;0;0
127;37031445;284;168;37031445;0;592.562;0;0
128;38246092;736;811;38246092;0;592.562;0;0
129;38665151;288;168;38665151;0;592.562;0;0
130;42734171;975;263;42734171;0;592.562;0;0
131;35347010;408;267;35347010;0;592.562;0;0
132;34784152;1879;231;34784152;0;592.562;0;0
133;35611723;324;170;35611723;0;592.562;0;0
134;32374283;388;211;32374283;0;592.562;0;0
135;53544671;413;259;53544671;0;592.562;0;0
136;51236511;842;301;51236511;0;592.562;0;0
